booksmith-ai	booksmith-ai	proof:context:fhqcm	node scripts/proof-context-inspector.mjs fhqcm
booksmith-ai	booksmith-ai	proof:limit	node scripts/booksmith-proof-limit-gate.mjs
booksmith-ai	booksmith-ai	proof:limit:fhqcm	node scripts/booksmith-proof-limit-gate.mjs fhqcm
booksmith-ai	booksmith-ai	proof:repair:v2	node scripts/proof-repair-v2.mjs
booksmith-ai	booksmith-ai	proof:repair:v2:fhqcm	node scripts/proof-repair-v2.mjs fhqcm
booksmith-ai	booksmith-ai	proof:report	node scripts/proof-report.mjs
booksmith-ai	booksmith-ai	proof:report:fhqcm	node scripts/proof-report.mjs fhqcm
booksmith-ai	booksmith-ai	proof:semantic-apply:v4	node scripts/proof-semantic-apply-v4.mjs
booksmith-ai	booksmith-ai	proof:semantic-context:v4	node scripts/proof-semantic-context-v4.mjs
booksmith-ai	booksmith-ai	proof:semantic-context:v4:fhqcm	node scripts/proof-semantic-context-v4.mjs fhqcm
booksmith-ai	booksmith-ai	proof:semantic-plan:v4	node scripts/proof-semantic-repair-plan-v4.mjs
booksmith-ai	booksmith-ai	proof:semantic-plan:v4:fhqcm	node scripts/proof-semantic-repair-plan-v4.mjs fhqcm
booksmith-ai	booksmith-ai	proof:v2	node scripts/proof-engine-v2.mjs
booksmith-ai	booksmith-ai	proof:v2:fhqcm	node scripts/proof-engine-v2.mjs fhqcm
booksmith-ai	booksmith-ai	proof:v3	bash scripts/phase1-proof-v3-loop.sh
booksmith-ai	booksmith-ai	proof:v3:apply-one	node scripts/proof-v3-apply-one.mjs
booksmith-ai	booksmith-ai	proof:v3:context	node scripts/proof-v3-context.mjs
booksmith-ai	booksmith-ai	proof:v3:context:fhqcm	node scripts/proof-v3-context.mjs fhqcm
